Province,Location,Year,Quarter,Month,Compacted Waste,Cardboard Recycling,Mixed Recycling,Organics/Compost,Biohazardous Waste
ON,St Catharines,FY2011,Q2,Feb-2011,3630,670,630,,4081
ON,St Catharines,FY2011,Q2,Mar-2011,4080,670,790,,4510
ON,St Catharines,FY2011,Q2,Apr-2011,3630,840,710,,4689
ON,St Catharines,FY2011,Q3,May-2011,4080,670,710,,4349
ON,St Catharines,FY2011,Q3,Jun-2011,4080,670,990,,4638
ON,St Catharines,FY2011,Q3,Jul-2011,3630,840,790,,4226
ON,St Catharines,FY2011,Q4,Aug-2011,4080,670,990,,4571
ON,St Catharines,FY2011,Q4,Sep-2011,4080,840,790,,4075
ON,St Catharines,FY2011,Q4,Oct-2011,4080,670,790,,
ON,St Catharines,FY2012,Q1,Nov-2011,3630,670,990,,4421
ON,St Catharines,FY2012,Q1,Dec-2011,4080,840,790,,4269
ON,St Catharines,FY2012,Q1,Jan-2012,4080,670,790,,4307
ON,St Catharines,FY2012,Q2,Feb-2012,3630,670,990,,4637
ON,St Catharines,FY2012,Q2,Mar-2012,4080,840,770,,4744
ON,St Catharines,FY2012,Q2,Apr-2012,4080,670,790,,4530
ON,St Catharines,FY2012,Q3,May-2012,4080,670,890,,4423
ON,St Catharines,FY2012,Q3,Jun-2012,3630,840,730,,4446
ON,St Catharines,FY2012,Q3,Jul-2012,4080,670,790,,4293
ON,St Catharines,FY2012,Q4,Aug-2012,4080,840,910,,4798
ON,St Catharines,FY2012,Q4,Sep-2012,3630,670,770,,4389
ON,St Catharines,FY2012,Q4,Oct-2012,4080,670,970,,5057
ON,St Catharines,FY2013,Q1,Nov-2012,4080,840,670,,4817
ON,St Catharines,FY2013,Q1,Dec-2012,4080,670,690,,4226
ON,St Catharines,FY2013,Q1,Jan-2013,4080,670,930,,4363
ON,St Catharines,FY2013,Q2,Feb-2013,3630,670,790,,4141
ON,St Catharines,FY2013,Q2,Mar-2013,3630,840,770,,4221
ON,St Catharines,FY2013,Q2,Apr-2013,4080,670,790,,4808
ON,St Catharines,FY2013,Q3,May-2013,4080,840,990,,4865
ON,St Catharines,FY2013,Q3,Jun-2013,3630,670,770,,4196
ON,St Catharines,FY2013,Q3,Jul-2013,4080,670,990,,4565
ON,St Catharines,FY2013,Q4,Aug-2013,4080,840,790,,4415
ON,St Catharines,FY2013,Q4,Sep-2013,3630,670,790,,4566
ON,St Catharines,FY2013,Q4,Oct-2013,4080,670,990,,4517
ON,St Catharines,FY2014,Q1,Nov-2013,3630,840,790,,4553
ON,St Catharines,FY2014,Q1,Dec-2013,4080,670,990,,4245
ON,St Catharines,FY2014,Q1,Jan-2014,4080,840,990,,4250
ON,St Catharines,FY2014,Q2,Feb-2014,3630,670,750,,2825
ON,St Catharines,FY2014,Q2,Mar-2014,4080,670,790,,3179
ON,St Catharines,FY2014,Q2,Apr-2014,3630,670,990,,3161
ON,St Catharines,FY2014,Q3,May-2014,4080,840,790,,3255
ON,St Catharines,FY2014,Q3,Jun-2014,4080,670,790,,3172
ON,St Catharines,FY2014,Q3,Jul-2014,4080,670,850,,3052
ON,St Catharines,FY2014,Q4,Aug-2014,3630,840,670,,3238
ON,St Catharines,FY2014,Q4,Sep-2014,4080,670,690,,3224
ON,St Catharines,FY2014,Q4,Oct-2014,4080,840,910,,3434
ON,St Catharines,FY2015,Q1,Nov-2014,3630,670,770,,2976
ON,St Catharines,FY2015,Q1,Dec-2014,4080,670,670,,2823
ON,St Catharines,FY2015,Q1,Jan-2015,4080,840,80,,3082
ON,St Catharines,FY2015,Q2,Feb-2015,3630,670,80,,2852
ON,St Catharines,FY2015,Q2,Mar-2015,4080,670,80,,3230
ON,St Catharines,FY2015,Q2,Apr-2015,4080,670,100,,3111
ON,St Catharines,FY2015,Q3,May-2015,3630,840,80,,2895
ON,St Catharines,FY2015,Q3,Jun-2015,4080,670,80,,2971
ON,St Catharines,FY2015,Q3,Jul-2015,4080,840,100,,3681
ON,St Catharines,FY2015,Q4,Aug-2015,4080,670,80,,2785
ON,St Catharines,FY2015,Q4,Sep-2015,3630,840,100,,3592
ON,St Catharines,FY2015,Q4,Oct-2015,4080,670,80,,3351
ON,St Catharines,FY2016,Q1,Nov-2015,4080,670,100,,3138.3
ON,St Catharines,FY2016,Q1,Dec-2015,4080,840,1020,,3229.1
ON,St Catharines,FY2016,Q1,Jan-2016,3630,670,790,,2670.79
